id,L,a,b,hex_srgb,in_srgb
1,0.0,0.0,0.0,#000000,1
2,1.0,6.0,0.0,#120004,0
3,1.0,8.0,-4.0,#12000D,0
4,1.0,8.0,0.0,#150004,0
5,1.0,10.0,-8.0,#120014,0
6,1.0,10.0,-2.0,#170009,0
7,1.0,12.0,-6.0,#170011,0
8,1.0,14.0,-14.0,#15001C,0
9,1.0,14.0,-10.0,#170017,0
10,1.0,16.0,-18.0,#140021,0
11,1.0,18.0,-16.0,#19001F,0
12,1.0,20.0,-22.0,#170026,0
13,1.0,24.0,-26.0,#18002B,0
14,1.0,28.0,-30.0,#190031,0
15,1.0,34.0,-36.0,#190039,0
16,1.0,40.0,-40.0,#1C003E,0
17,1.0,46.0,-46.0,#1B0046,0
18,1.0,52.0,-52.0,#1A004F,0
19,1.0,58.0,-56.0,#1C0055,0
20,1.0,64.0,-60.0,#1F005A,0
21,1.0,70.0,-62.0,#26005D,0
22,1.0,76.0,-66.0,#280063,0
23,1.0,84.0,-72.0,#2A006C,0
24,2.0,14.0,2.0,#1F0003,0
25,2.0,16.0,-2.0,#20000D,0
26,2.0,20.0,-8.0,#210017,0
27,2.0,20.0,-4.0,#230011,0
28,2.0,24.0,-14.0,#22001E,0
29,2.0,24.0,-10.0,#240019,0
30,2.0,28.0,-20.0,#230026,0
31,2.0,32.0,-26.0,#23002E,0
32,2.0,36.0,-32.0,#220035,0
33,2.0,42.0,-34.0,#270038,0
34,2.0,46.0,-40.0,#250040,0
35,2.0,52.0,-42.0,#2B0043,0
36,2.0,58.0,-48.0,#2B004C,0
37,2.0,94.0,-80.0,#2F007B,0
38,2.0,102.0,-84.0,#350081,0
39,3.0,22.0,2.0,#280007,0
40,3.0,24.0,-2.0,#280010,0
41,3.0,26.0,2.0,#2C0007,0
42,3.0,28.0,-12.0,#28001E,0
43,3.0,28.0,-4.0,#2B0013,0
44,3.0,30.0,-16.0,#280023,0
45,3.0,32.0,-10.0,#2D001B,0
46,3.0,34.0,-14.0,#2D0020,0
47,3.0,36.0,-18.0,#2D0025,0
48,3.0,38.0,-24.0,#2C002D,0
49,3.0,44.0,-28.0,#2F0032,0
50,3.0,46.0,-52.0,#100054,0
51,3.0,52.0,-58.0,#0B005C,0
52,3.0,70.0,-68.0,#1C006B,0
53,3.0,72.0,-56.0,#36005A,0
54,3.0,76.0,-72.0,#1F0071,0
55,3.0,88.0,-78.0,#2A007B,0
56,3.0,92.0,-74.0,#3A0075,0
57,3.0,108.0,-90.0,#37008D,0
58,3.0,116.0,-96.0,#390097,0
59,4.0,0.0,0.0,#0E0E0E,1
60,4.0,24.0,-44.0,#00044A,0
61,4.0,24.0,-40.0,#000345,0
62,4.0,26.0,-38.0,#070042,1
63,4.0,26.0,-34.0,#12003C,0
64,4.0,26.0,-30.0,#190037,0
65,4.0,26.0,-26.0,#1E0032,0
66,4.0,26.0,-22.0,#22002C,0
67,4.0,28.0,6.0,#300001,0
68,4.0,30.0,-46.0,#00004D,0
69,4.0,30.0,-30.0,#1F0037,0
70,4.0,32.0,-42.0,#0C0048,0
71,4.0,32.0,-38.0,#160042,0
72,4.0,32.0,-22.0,#28002D,0
73,4.0,32.0,0.0,#32000F,0
74,4.0,32.0,4.0,#330006,0
75,4.0,36.0,-50.0,#000053,0
76,4.0,38.0,-46.0,#10004D,0
77,4.0,42.0,-54.0,#000059,0
78,4.0,44.0,-22.0,#35002D,0
79,4.0,48.0,-36.0,#300040,0
80,4.0,50.0,-32.0,#35003A,0
81,4.0,60.0,-64.0,#110068,0
82,4.0,60.0,-42.0,#380048,0
83,4.0,64.0,-56.0,#2D005C,0
84,4.0,66.0,-50.0,#380053,0
85,4.0,78.0,-60.0,#3C0062,0
86,4.0,84.0,-64.0,#3F0068,0
87,4.0,114.0,-90.0,#450090,0
88,4.0,124.0,-102.0,#3F00A4,0
89,5.0,36.0,2.0,#38000F,0
90,5.0,38.0,-2.0,#380015,0
91,5.0,40.0,-6.0,#39001A,0
92,5.0,42.0,-10.0,#3A001F,0
93,5.0,46.0,-18.0,#3B002A,0
94,5.0,56.0,-32.0,#3E003C,0
95,5.0,72.0,-64.0,#2F006A,0
96,5.0,78.0,-66.0,#36006E,0
97,5.0,82.0,-74.0,#2E007A,0
98,5.0,96.0,-86.0,#2E008C,0
99,6.0,10.0,-38.0,#001347,0
100,6.0,10.0,-34.0,#001241,0
101,6.0,12.0,-32.0,#00113E,0
102,6.0,14.0,-40.0,#001149,0
103,6.0,14.0,-30.0,#010F3B,1
104,6.0,16.0,-38.0,#000F47,0
105,6.0,16.0,-28.0,#0D0D39,1
106,6.0,16.0,-24.0,#140C33,1
107,6.0,18.0,-36.0,#000D44,0
108,6.0,18.0,-22.0,#1A0A31,1
109,6.0,20.0,-44.0,#000E4F,0
110,6.0,20.0,-34.0,#060B41,1
111,6.0,20.0,-30.0,#120A3B,1
112,6.0,20.0,-26.0,#180936,1
113,6.0,20.0,-20.0,#1F082E,1
114,6.0,22.0,-24.0,#1E0733,1
115,6.0,22.0,-18.0,#23062B,1
116,6.0,22.0,-14.0,#260526,1
117,6.0,26.0,-18.0,#28012B,1
118,6.0,26.0,-14.0,#2B0126,1
119,6.0,26.0,-10.0,#2D0021,1
120,6.0,28.0,-6.0,#30001C,0
121,6.0,32.0,-12.0,#320024,0
122,6.0,34.0,-52.0,#00035B,0
123,6.0,34.0,-26.0,#2C0036,0
124,6.0,34.0,-8.0,#35001F,0
125,6.0,36.0,-34.0,#260041,0
126,6.0,38.0,-42.0,#1E004C,0
127,6.0,38.0,-20.0,#34002E,0
128,6.0,38.0,-16.0,#360029,0
129,6.0,38.0,-12.0,#380024,0
130,6.0,38.0,10.0,#3D0000,0
131,6.0,40.0,-32.0,#2E003E,0
132,6.0,42.0,-40.0,#28004A,0
133,6.0,44.0,-46.0,#210052,0
134,6.0,44.0,-30.0,#34003C,0
135,6.0,48.0,-44.0,#2B004F,0
136,6.0,50.0,-62.0,#00006A,0
137,6.0,50.0,-52.0,#21005B,0
138,6.0,50.0,-24.0,#3E0034,0
139,6.0,52.0,-42.0,#33004D,0
140,6.0,54.0,-50.0,#2C0058,0
141,6.0,56.0,-66.0,#000070,0
142,6.0,56.0,-56.0,#250061,0
143,6.0,58.0,-48.0,#340055,0
144,6.0,62.0,-60.0,#280067,0
145,6.0,62.0,-36.0,#440044,0
146,6.0,66.0,-66.0,#220070,0
147,6.0,66.0,-42.0,#44004D,0
148,6.0,68.0,-72.0,#120079,0
149,6.0,74.0,-74.0,#1E007C,0
150,6.0,88.0,-84.0,#24008C,0
151,6.0,90.0,-70.0,#450076,0
152,6.0,98.0,-74.0,#4B007D,0
153,6.0,100.0,-80.0,#460086,0
154,6.0,108.0,-96.0,#32009F,0
155,6.0,116.0,-100.0,#3A00A6,0
156,6.0,122.0,-96.0,#4F009F,0
157,7.0,-6.0,-30.0,#001B3D,0
158,7.0,-4.0,-26.0,#001938,0
159,7.0,-2.0,-32.0,#001940,0
160,7.0,0.0,-30.0,#00183E,0
161,7.0,0.0,-24.0,#001835,0
162,7.0,2.0,-22.0,#001633,0
163,7.0,4.0,-36.0,#001846,0
164,7.0,4.0,-30.0,#00173E,0
165,7.0,4.0,-20.0,#021530,1
166,7.0,6.0,-28.0,#00153B,0
167,7.0,6.0,-20.0,#081430,1
168,7.0,8.0,-26.0,#001438,0
169,7.0,8.0,-18.0,#10132D,1
170,7.0,10.0,-24.0,#091335,1
171,7.0,10.0,-16.0,#17122B,1
172,7.0,12.0,-22.0,#121133,1
173,7.0,12.0,-14.0,#1C1028,1
174,7.0,14.0,-20.0,#181030,1
175,7.0,14.0,-12.0,#200F25,1
176,7.0,16.0,-18.0,#1E0E2D,1
177,7.0,16.0,-10.0,#240D23,1
178,7.0,18.0,-16.0,#220C2B,1
179,7.0,18.0,-8.0,#270B20,1
180,7.0,22.0,-10.0,#2A0723,1
181,7.0,22.0,-6.0,#2C071E,1
182,7.0,26.0,-36.0,#140846,1
183,7.0,28.0,-50.0,#000B5A,0
184,7.0,28.0,-46.0,#000A54,0
185,7.0,28.0,-24.0,#280336,1
186,7.0,28.0,0.0,#340016,0
187,7.0,30.0,-44.0,#050752,1
188,7.0,30.0,-36.0,#1C0446,1
189,7.0,30.0,-18.0,#2F002E,0
190,7.0,32.0,-2.0,#370019,0
191,7.0,32.0,2.0,#380014,0
192,7.0,34.0,6.0,#3B000D,0
193,7.0,40.0,-58.0,#000066,0
194,7.0,42.0,0.0,#410017,0
195,7.0,44.0,-4.0,#42001C,0
196,7.0,44.0,4.0,#440011,0
197,7.0,48.0,-8.0,#450021,0
198,7.0,52.0,-36.0,#3B0047,0
199,7.0,70.0,-58.0,#3B0067,0
200,7.0,74.0,-54.0,#450061,0
201,7.0,80.0,-56.0,#4B0064,0
202,7.0,82.0,-82.0,#1D008B,0
203,7.0,92.0,-80.0,#3B0088,0
204,7.0,106.0,-86.0,#490092,0
205,7.0,112.0,-84.0,#55008F,0
206,7.0,126.0,-108.0,#4000B6,0
207,8.0,-20.0,-22.0,#002035,0
208,8.0,-16.0,-24.0,#001F37,0
209,8.0,-16.0,-18.0,#001F2F,0
210,8.0,-12.0,-26.0,#001E3A,0
211,8.0,-12.0,-20.0,#001D32,0
212,8.0,-12.0,-16.0,#001D2C,0
213,8.0,-8.0,-22.0,#001C35,0
214,8.0,-8.0,-18.0,#001C2F,0
215,8.0,-8.0,-14.0,#001C2A,0
216,8.0,-6.0,-12.0,#001B27,0
217,8.0,-4.0,-20.0,#001B32,0
218,8.0,-4.0,-16.0,#001A2D,0
219,8.0,-4.0,-12.0,#011A27,1
220,8.0,-2.0,-18.0,#001A2F,0
221,8.0,-2.0,-14.0,#02192A,1
222,8.0,-2.0,-10.0,#091925,1
223,8.0,0.0,-18.0,#00192F,0
224,8.0,0.0,-14.0,#07182A,1
225,8.0,0.0,-10.0,#0E1825,1
226,8.0,0.0,0.0,#181818,1
227,8.0,2.0,-18.0,#04182F,1
228,8.0,2.0,-14.0,#0C182A,1
229,8.0,2.0,-10.0,#121725,1
230,8.0,4.0,-14.0,#11172A,1
231,8.0,4.0,-10.0,#151625,1
232,8.0,4.0,-6.0,#19161F,1
233,8.0,6.0,-14.0,#14162A,1
234,8.0,6.0,-10.0,#191525,1
235,8.0,6.0,-6.0,#1C151F,1
236,8.0,8.0,-10.0,#1C1425,1
237,8.0,8.0,-6.0,#1E1420,1
238,8.0,10.0,-8.0,#201322,1
239,8.0,10.0,-4.0,#22131D,1
240,8.0,12.0,-6.0,#231220,1
241,8.0,12.0,-2.0,#25111A,1
242,8.0,14.0,-4.0,#27101D,1
243,8.0,16.0,-2.0,#2A0E1B,1
244,8.0,18.0,-46.0,#001457,0
245,8.0,20.0,-2.0,#2E0B1B,1
246,8.0,20.0,2.0,#2F0A15,1
247,8.0,22.0,-38.0,#040F4B,1
248,8.0,24.0,-50.0,#00115D,0
249,8.0,24.0,-28.0,#200B3D,1
250,8.0,24.0,0.0,#330618,1
251,8.0,24.0,4.0,#340513,1
252,8.0,28.0,-28.0,#26063D,1
253,8.0,28.0,6.0,#38000F,1
254,8.0,34.0,-44.0,#160354,1
255,8.0,34.0,-30.0,#2C0040,0
256,8.0,34.0,-22.0,#330035,0
257,8.0,38.0,-50.0,#0E005D,1
258,8.0,38.0,4.0,#410013,0
259,8.0,44.0,-54.0,#130063,0
260,8.0,44.0,12.0,#480003,0
261,8.0,46.0,-38.0,#34004C,0
262,8.0,46.0,-26.0,#3E003B,0
263,8.0,46.0,-14.0,#44002B,0
264,8.0,48.0,-64.0,#000072,0
265,8.0,52.0,-18.0,#480030,0
266,8.0,54.0,-28.0,#45003E,0
267,8.0,58.0,-42.0,#400052,0
268,8.0,58.0,-24.0,#4B0038,0
269,8.0,60.0,-72.0,#00007E,0
270,8.0,60.0,-30.0,#4A0041,0
271,8.0,62.0,-68.0,#180078,0
272,8.0,64.0,-52.0,#3D0060,0
273,8.0,64.0,-46.0,#430057,0
274,8.0,74.0,-80.0,#09008B,0
275,8.0,82.0,-66.0,#450075,0
276,8.0,86.0,-62.0,#4F006F,0
277,8.0,98.0,-90.0,#34009B,0
278,9.0,60.0,-38.0,#48004E,0
279,9.0,72.0,-70.0,#30007E,0
280,9.0,72.0,-44.0,#510057,0
281,9.0,74.0,-64.0,#3F0075,0
282,9.0,78.0,-60.0,#4A006F,0
283,9.0,80.0,-74.0,#370084,0
284,9.0,86.0,-88.0,#1B009A,0
285,9.0,86.0,-72.0,#450081,0
286,9.0,92.0,-68.0,#54007B,0
287,9.0,100.0,-96.0,#2A00A8,0
288,9.0,106.0,-78.0,#5B008B,0
289,9.0,108.0,-100.0,#3300AE,0
290,9.0,112.0,-94.0,#4B00A4,0
291,9.0,116.0,-104.0,#3C00B5,0
292,10.0,-34.0,-12.0,#00272B,0
293,10.0,-30.0,-14.0,#00262E,0
294,10.0,-28.0,-10.0,#002528,0
295,10.0,-26.0,-18.0,#002533,0
296,10.0,-24.0,-14.0,#00242E,0
297,10.0,-24.0,-10.0,#002428,0
298,10.0,-22.0,-20.0,#002436,0
299,10.0,-20.0,-16.0,#002331,0
300,10.0,-20.0,-12.0,#00232B,0
301,10.0,-20.0,-8.0,#002326,0
302,10.0,-16.0,-14.0,#00222E,0
303,10.0,-16.0,-10.0,#002229,0
304,10.0,-16.0,-6.0,#002123,0
305,10.0,-12.0,-10.0,#002029,0
306,10.0,-12.0,-6.0,#002023,0
307,10.0,-10.0,-28.0,#002142,0
