id,L,a,b,hex_srgb,in_srgb
1,0.0,0.0,0.0,#000000,1
2,0.0625,2.625,-4.375,#02000B,0
3,0.0625,6.0,-10.125,#040015,0
4,0.125,12.5,-20.125,#090022,0
5,0.125,17.125,-25.25,#0C0029,0
6,0.1875,24.0,-31.75,#0F0031,0
7,0.25,33.375,-38.625,#13003A,0
8,0.25,38.75,-42.0,#16003F,0
9,0.3125,44.0,-45.625,#180044,0
10,0.375,51.125,-50.25,#1B004B,0
11,0.5625,4.375,0.875,#0E0000,0
12,0.5625,56.25,-54.125,#1C0051,0
13,0.5625,62.625,-58.0,#200057,0
14,0.5625,70.875,-63.0,#24005E,0
15,0.625,11.75,-11.125,#120018,0
16,0.6875,79.875,-69.0,#280067,0
17,0.8125,31.875,-32.5,#1B0034,0
18,0.8125,85.5,-72.875,#2B006D,0
19,1.0,90.75,-76.625,#2D0073,0
20,1.125,9.5,1.75,#180000,0
21,1.25,13.625,-4.0,#1B000E,0
22,1.3125,7.75,-4.625,#12000F,0
23,1.3125,17.875,-10.375,#1D0018,0
24,1.3125,25.0,-20.625,#1E0025,0
25,1.4375,21.75,-15.375,#1E001F,0
26,1.4375,49.5,-42.875,#260043,0
27,1.5,101.125,-81.75,#37007D,0
28,1.5,104.875,-86.5,#340084,0
29,1.5625,30.75,-24.375,#22002A,0
30,1.75,37.5,-34.375,#210038,0
31,1.9375,69.625,-57.125,#2F0059,0
32,1.9375,77.75,-63.5,#320062,0
33,2.0625,43.625,-33.75,#290038,0
34,2.0625,95.125,-81.625,#2D007E,0
35,2.125,109.375,-90.5,#36008C,0
36,2.25,19.25,2.5,#250003,0
37,2.3125,23.625,-3.875,#270011,0
38,2.3125,39.125,-27.5,#290030,0
39,2.4375,27.5,-9.0,#280019,0
40,2.5625,56.125,-43.5,#2F0047,0
41,2.5625,63.5,-63.875,#170064,0
42,2.5625,116.0,-95.5,#390095,0
43,2.5625,121.125,-98.625,#3C009A,0
44,2.625,48.625,-55.375,#090058,0
45,2.6875,73.625,-70.125,#1E006E,0
46,2.875,38.25,-21.25,#2D0029,0
47,2.875,50.125,-36.875,#2F003E,0
48,3.0,35.25,-15.25,#2E0022,0
49,3.0,65.0,-52.75,#310055,0
50,3.25,86.25,-67.125,#3C006B,0
51,3.3125,27.125,5.125,#2E0001,0
52,3.375,29.5,-3.25,#2D0013,0
53,3.5,23.75,-42.875,#000248,0
54,3.5,30.625,-45.875,#00004C,0
55,3.5,35.375,-49.75,#000051,0
56,3.5625,54.625,-61.0,#080062,0
57,3.5625,126.375,-103.625,#3E00A5,0
58,3.625,79.625,-75.625,#1F0079,0
59,3.75,98.25,-86.875,#2C008B,0
60,3.8125,46.25,-26.125,#340032,0
61,3.8125,95.625,-74.0,#420077,0
62,3.875,24.25,-36.625,#060140,1
63,4.0,33.375,1.75,#33000C,0
64,4.0625,41.0,-53.5,#000058,0
65,4.0625,63.25,-45.0,#39004C,0
66,4.0625,76.125,-56.625,#3E005D,0
67,4.25,85.25,-78.75,#26007F,0
68,4.3125,39.375,-10.5,#36001F,0
69,4.375,51.5,-29.25,#390037,0
70,4.4375,57.125,-49.25,#2E0053,0
71,4.5,65.625,-69.25,#0F0071,0
72,4.5625,33.0,7.75,#360000,0
73,4.5625,38.625,-4.125,#370017,0
74,4.5625,45.875,-19.375,#39002B,0
75,4.5625,104.0,-91.75,#2F0094,0
76,4.625,89.875,-83.5,#250087,0
77,4.75,60.75,-38.875,#3D0045,0
78,4.9375,110.0,-96.0,#33009C,0
79,5.125,106.625,-80.875,#4C0085,0
80,5.125,120.375,-92.25,#500097,0
81,5.1875,73.0,-50.75,#430057,0
82,5.3125,115.75,-88.125,#500091,0
83,5.375,101.25,-76.25,#4B007E,0
84,5.5,8.0,-37.5,#001245,0
85,5.5,11.25,-32.0,#00103D,0
86,5.5,14.0,-41.0,#00104A,0
87,5.5,14.375,-26.875,#0A0D36,1
88,5.5,17.625,-21.25,#1A092E,1
89,5.5,18.5,-35.375,#000B42,0
90,5.5,21.125,-28.625,#150738,1
91,5.5,27.125,-27.625,#200137,1
92,5.5,27.625,-16.5,#2A0028,0
93,5.5,39.625,-39.125,#240047,0
94,5.5625,30.75,-39.625,#130148,1
95,5.5625,45.5,-11.625,#3E0023,0
96,5.625,40.75,-47.0,#180053,0
97,5.625,44.875,-59.25,#000065,0
98,5.625,59.0,-67.375,#000071,0
99,5.625,83.0,-59.625,#470066,0
100,5.875,70.625,-66.0,#2C0070,0
101,5.875,71.75,-74.875,#12007D,0
102,5.9375,-0.875,-0.375,#111414,1
103,6.0,119.625,-103.5,#3900AC,0
104,6.125,41.625,6.25,#40000A,0
105,6.1875,91.5,-67.375,#4B0073,0
106,6.3125,57.25,-28.5,#44003B,0
107,6.5625,-7.625,-29.0,#001A3B,0
108,6.5625,-2.25,-32.875,#001941,0
109,6.5625,-2.25,-24.75,#001835,0
110,6.5625,1.875,-21.0,#001530,0
111,6.5625,3.75,-32.625,#001640,0
112,6.5625,5.5,-18.0,#0A132C,1
113,6.5625,6.75,-26.375,#001438,0
114,6.5625,9.25,-14.875,#161128,1
115,6.5625,10.0,-22.0,#0D1132,1
116,6.5625,13.625,-11.375,#1F0E24,1
117,6.5625,18.875,-7.0,#28091E,1
118,6.5625,28.75,-50.875,#000A5B,0
119,6.5625,32.25,-21.0,#2E0031,0
120,6.5625,33.0,-10.875,#340023,0
121,6.5625,49.75,-63.75,#00006E,0
122,6.5625,51.625,-47.375,#2D0056,0
123,6.625,65.0,-57.625,#330065,0
124,6.6875,126.875,-108.875,#3E00B6,0
125,6.75,20.0,-13.125,#260926,1
126,6.75,51.375,-20.75,#430031,0
127,6.75,52.5,-40.875,#37004D,0
128,6.75,55.5,-34.625,#3F0044,0
129,6.75,79.75,-80.875,#190089,0
130,6.75,80.25,-66.375,#3E0073,0
131,6.8125,56.125,-55.375,#280062,0
132,6.875,33.25,-31.125,#28003F,0
133,6.875,35.375,-55.5,#000562,0
134,6.875,44.5,-2.0,#430019,0
135,6.875,69.25,-45.75,#470054,0
136,6.875,113.5,-101.25,#3400AA,0
137,6.9375,67.125,-40.125,#49004C,0
138,6.9375,88.125,-73.375,#40007E,0
139,7.0625,126.25,-97.875,#5700A5,0
140,7.125,95.375,-91.0,#25009A,0
141,7.3125,102.875,-85.375,#460092,0
142,7.5,-20.75,-19.875,#002031,0
143,7.5,-15.75,-24.75,#001E37,0
144,7.5,-15.375,-16.875,#001E2D,0
145,7.5,-9.5,-21.125,#001C32,0
146,7.5,-9.375,-14.75,#001B2A,0
147,7.5,-4.375,-10.625,#011924,1
148,7.5,-4.125,-16.875,#00192D,0
149,7.5,0.0,-12.25,#091727,1
150,7.5,2.875,-7.0,#161620,1
151,7.5,6.625,-4.625,#1D141D,1
152,7.5,11.375,-2.0,#241119,1
153,7.5,20.75,-48.0,#001259,0
154,7.5,37.625,10.625,#410004,0
155,7.5,39.0,-16.75,#3A002D,0
156,7.5,40.625,-24.75,#370038,0
157,7.5,75.0,-61.875,#3F006E,0
158,7.5625,24.0,-0.375,#310518,1
159,7.5625,46.5,-51.5,#1F005E,0
160,7.625,16.75,0.875,#2B0D16,1
161,7.625,40.75,-32.875,#320043,0
162,7.6875,46.5,-39.25,#33004D,0
163,7.6875,103.875,-96.875,#2C00A5,0
164,7.75,111.875,-83.25,#590090,0
165,8.0,50.875,-13.5,#49002A,0
166,8.0,64.875,-34.25,#4D0047,0
167,8.0,86.0,-87.0,#1A0096,0
168,8.0625,24.25,-22.375,#270936,1
169,8.125,42.625,14.0,#470000,0
170,8.125,88.125,-62.125,#520070,0
171,8.1875,73.875,-80.25,#07008C,0
172,8.1875,91.375,-78.625,#410089,0
173,8.1875,95.625,-83.0,#400090,0
174,8.375,20.875,-40.875,#001250,0
175,8.5625,119.5,-97.5,#5100A9,0
176,8.625,109.25,-91.0,#4B009E,0
177,9.0,63.75,-48.375,#44005D,0
178,9.1875,79.25,-55.875,#500069,0
179,9.25,49.25,6.5,#4F0013,0
180,9.3125,76.5,-46.625,#55005C,0
