L,a,b,hex_srgb
0.0,0.0,0.0,#000000
1.0,6.0,0.0,#120004
1.0,8.0,-4.0,#12000D
1.0,8.0,-2.0,#130009
1.0,8.0,0.0,#150004
1.0,10.0,-8.0,#120014
1.0,10.0,-6.0,#140011
1.0,10.0,-4.0,#15000D
1.0,10.0,-2.0,#170009
1.0,12.0,-10.0,#140017
1.0,12.0,-8.0,#160014
1.0,12.0,-6.0,#170011
1.0,14.0,-14.0,#15001C
1.0,14.0,-12.0,#16001A
1.0,14.0,-10.0,#170017
1.0,16.0,-18.0,#140021
1.0,16.0,-16.0,#16001F
1.0,16.0,-14.0,#18001C
1.0,16.0,-12.0,#19001A
1.0,18.0,-20.0,#160024
1.0,18.0,-18.0,#170021
1.0,18.0,-16.0,#19001F
1.0,20.0,-22.0,#170026
1.0,20.0,-20.0,#180024
1.0,22.0,-24.0,#170029
1.0,22.0,-22.0,#190026
1.0,24.0,-26.0,#18002B
1.0,24.0,-24.0,#1A0029
1.0,26.0,-28.0,#19002E
1.0,26.0,-26.0,#1B002B
1.0,28.0,-30.0,#190031
1.0,28.0,-28.0,#1B002E
1.0,32.0,-34.0,#190036
1.0,32.0,-32.0,#1C0033
1.0,36.0,-36.0,#1C0039
1.0,40.0,-40.0,#1C003E
1.0,44.0,-44.0,#1C0044
1.0,48.0,-48.0,#1B0049
1.0,48.0,-44.0,#210044
1.0,52.0,-52.0,#1A004F
1.0,52.0,-48.0,#210049
1.0,56.0,-54.0,#1D0052
1.0,58.0,-52.0,#24004F
1.0,60.0,-56.0,#200055
1.0,64.0,-60.0,#1F005A
1.0,66.0,-58.0,#260058
1.0,70.0,-62.0,#26005D
1.0,74.0,-66.0,#250063
1.0,80.0,-70.0,#270069
1.0,88.0,-74.0,#2E006F
2.0,0.0,0.0,#070707
2.0,14.0,2.0,#1F0003
2.0,16.0,-2.0,#20000D
2.0,16.0,0.0,#210008
2.0,16.0,2.0,#210003
2.0,18.0,-4.0,#210011
2.0,18.0,-2.0,#22000D
2.0,18.0,0.0,#230008
2.0,20.0,-8.0,#210017
2.0,20.0,-6.0,#220014
2.0,20.0,-4.0,#230011
2.0,22.0,-10.0,#220019
2.0,22.0,-8.0,#230017
2.0,22.0,-6.0,#240014
2.0,24.0,-14.0,#22001E
2.0,24.0,-12.0,#23001C
2.0,24.0,-10.0,#240019
2.0,26.0,-16.0,#230021
2.0,26.0,-14.0,#24001E
2.0,28.0,-20.0,#230026
2.0,28.0,-18.0,#240023
2.0,30.0,-22.0,#230028
2.0,32.0,-26.0,#23002E
2.0,32.0,-24.0,#24002B
2.0,36.0,-32.0,#220035
2.0,36.0,-30.0,#240033
2.0,36.0,-28.0,#250030
2.0,40.0,-38.0,#20003E
2.0,40.0,-34.0,#240038
2.0,44.0,-42.0,#200043
2.0,44.0,-38.0,#25003E
