L,a,b,hex_srgb
0.0,0.0,0.0,#000000
1.0,6.0,0.0,#120004
1.0,10.0,-8.0,#120014
1.0,14.0,-14.0,#15001C
1.0,18.0,-20.0,#160024
1.0,24.0,-26.0,#18002B
1.0,30.0,-32.0,#190033
1.0,36.0,-36.0,#1C0039
1.0,42.0,-42.0,#1C0041
1.0,48.0,-48.0,#1B0049
1.0,54.0,-52.0,#1D004F
1.0,60.0,-56.0,#200055
1.0,66.0,-60.0,#23005A
1.0,72.0,-64.0,#250060
1.0,78.0,-68.0,#280066
1.0,84.0,-72.0,#2A006C
2.0,14.0,2.0,#1F0003
2.0,18.0,-4.0,#210011
2.0,22.0,-10.0,#220019
2.0,26.0,-16.0,#230021
2.0,30.0,-22.0,#230028
2.0,94.0,-80.0,#2F007B
2.0,102.0,-84.0,#350081
3.0,22.0,2.0,#280007
3.0,28.0,-2.0,#2C0010
3.0,32.0,-10.0,#2D001B
3.0,36.0,-20.0,#2C0028
3.0,40.0,-28.0,#2B0032
3.0,46.0,-32.0,#2F0038
3.0,50.0,-40.0,#2C0043
3.0,52.0,-58.0,#0B005C
3.0,56.0,-46.0,#2D004B
3.0,62.0,-48.0,#33004E
3.0,88.0,-78.0,#2A007B
3.0,108.0,-90.0,#37008D
3.0,116.0,-96.0,#390097
4.0,24.0,-44.0,#00044A
4.0,26.0,-38.0,#070042
4.0,30.0,-46.0,#00004D
4.0,30.0,6.0,#320001
4.0,32.0,-40.0,#120045
4.0,34.0,-2.0,#330013
4.0,36.0,-50.0,#000053
4.0,40.0,-14.0,#350022
4.0,42.0,-54.0,#000059
4.0,56.0,-38.0,#370042
4.0,60.0,-64.0,#110068
4.0,66.0,-68.0,#14006E
4.0,68.0,-54.0,#360059
4.0,72.0,-70.0,#1F0071
4.0,74.0,-56.0,#3B005C
4.0,80.0,-76.0,#20007A
4.0,82.0,-62.0,#3F0065
4.0,114.0,-90.0,#450090
4.0,124.0,-102.0,#3F00A4
5.0,46.0,-18.0,#3B002A
5.0,90.0,-70.0,#420074
5.0,96.0,-86.0,#2E008C
5.0,98.0,-74.0,#49007A
5.0,122.0,-96.0,#4B009D
6.0,10.0,-38.0,#001347
6.0,12.0,-32.0,#00113E
6.0,16.0,-42.0,#00104C
6.0,16.0,-26.0,#110D36
6.0,18.0,-36.0,#000D44
6.0,22.0,-30.0,#16083B
6.0,38.0,10.0,#3D0000
6.0,40.0,0.0,#3D0015
6.0,42.0,-8.0,#3D001F
6.0,46.0,-60.0,#000067
6.0,46.0,-44.0,#28004F
6.0,48.0,-54.0,#18005E
6.0,52.0,-32.0,#3C003F
6.0,68.0,-48.0,#410055
6.0,76.0,-62.0,#3C006A
6.0,104.0,-94.0,#2E009C
7.0,-6.0,-30.0,#001B3D
7.0,0.0,-34.0,#001943
7.0,0.0,-26.0,#001838
