id,L,a,b,hex_srgb,in_srgb,slice_id
1,0.0,0.0,0.0,#000000,1,0
4,0.0625,0.625,-1.75,#000005,0,1
5,0.0625,1.0,-0.875,#020002,0,1
6,0.0625,1.125,-2.625,#000007,0,1
7,0.0625,1.625,-1.875,#020005,0,1
8,0.0625,1.75,-3.625,#010009,0,1
10,0.0625,2.375,-4.625,#01000C,0,1
12,0.0625,2.5,-3.5,#030009,0,1
13,0.0625,3.0,-5.625,#02000E,0,1
15,0.0625,3.625,-6.75,#020010,0,1
16,0.0625,4.375,-7.875,#030012,0,1
18,0.0625,5.125,-9.125,#030014,0,1
19,0.0625,5.875,-10.375,#040016,0,1
22,0.0625,6.625,-11.625,#040017,0,1
23,0.0625,7.5,-13.0,#050019,0,1
25,0.0625,8.375,-14.375,#06001B,0,1
26,0.0625,9.375,-15.875,#06001D,0,1
29,0.125,3.75,-4.75,#05000C,0,2
30,0.125,4.375,-5.875,#05000E,0,2
31,0.125,5.125,-7.125,#060011,0,2
32,0.125,10.375,-18.0,#06001F,0,2
33,0.125,11.625,-19.625,#070021,0,2
35,0.125,13.0,-21.25,#080023,0,2
37,0.125,14.5,-23.0,#090026,0,2
39,0.125,16.125,-24.625,#0B0028,0,2
40,0.125,18.0,-26.375,#0C002A,0,2
43,0.1875,-0.75,0.0,#000101,0,3
44,0.1875,-0.375,-1.0,#000103,0,3
46,0.1875,1.5,-0.125,#040001,0,3
47,0.1875,1.75,-5.125,#00000D,0,3
48,0.1875,2.375,-6.25,#00000F,0,3
49,0.1875,2.625,-1.875,#050005,0,3
50,0.1875,3.0,-7.375,#000011,0,3
51,0.1875,3.125,-2.875,#060008,0,3
52,0.1875,3.75,-8.625,#010013,0,3
53,0.1875,4.5,-9.875,#010015,0,3
54,0.1875,5.25,-11.125,#020017,0,3
55,0.1875,10.125,-15.125,#0A001C,0,3
56,0.1875,20.0,-28.75,#0C002D,0,3
57,0.1875,21.875,-29.25,#0F002E,0,3
58,0.1875,23.375,-31.5,#0F0031,0,3
60,0.1875,25.625,-33.125,#100033,0,3
61,0.1875,28.0,-34.875,#110035,0,3
