id,L,a,b,hex_srgb,in_srgb,slice_id
3,0.0,0.0,0.0,#000000,1,0
11,0.0625,2.375,-4.625,#01000C,0,1
21,0.0625,5.875,-10.375,#040016,0,1
28,0.0625,9.375,-15.875,#06001D,0,1
36,0.125,13.0,-21.25,#080023,0,2
42,0.125,18.0,-26.375,#0C002A,0,2
59,0.1875,23.375,-31.5,#0F0031,0,3
85,0.25,28.875,-35.875,#110037,0,4
90,0.25,36.125,-40.125,#15003D,0,4
109,0.3125,43.25,-44.5,#190043,0,5
141,0.375,53.75,-51.75,#1D004D,0,6
173,0.5,48.25,-49.0,#190049,0,8
177,0.5,63.5,-58.125,#210057,0,8
214,0.625,4.875,0.75,#0F0001,0,10
225,0.625,76.125,-66.5,#270063,0,10
235,0.6875,8.125,-4.125,#11000D,0,11
252,0.75,1.875,-11.25,#000218,0,12
274,0.75,68.125,-62.0,#22005D,0,12
276,0.75,85.125,-72.375,#2B006C,0,12
280,0.8125,-1.25,-5.375,#00040F,0,13
286,0.8125,12.0,-9.375,#140016,0,13
313,0.9375,-4.0,0.75,#000601,0,15
322,0.9375,16.375,-14.75,#17001D,0,15
334,0.9375,94.125,-78.5,#2F0076,0,15
340,1.0,4.25,-17.625,#000220,0,16
354,1.0,28.875,-28.125,#1C002E,0,16
377,1.0625,34.375,-32.375,#1E0034,0,17
384,1.0625,101.75,-83.5,#33007E,0,17
398,1.125,24.5,-23.25,#1C0028,0,18
415,1.1875,7.75,-23.25,#000128,0,19
442,1.25,110.125,-89.125,#370087,0,20
468,1.3125,57.625,-57.125,#1A0057,0,21
481,1.375,17.0,-32.75,#000035,0,22
512,1.4375,61.0,-52.125,#290050,0,23
515,1.4375,119.0,-95.0,#3C0091,0,23
537,1.5,24.0,-17.25,#200021,0,24
558,1.5625,13.0,2.625,#1E0000,0,25
565,1.5625,22.75,-37.375,#00003C,0,25
580,1.625,-2.375,-11.25,#00091A,0,26
591,1.625,11.25,-29.0,#000130,0,26
611,1.625,124.25,-98.625,#3F0098,0,26
635,1.6875,44.0,-37.0,#26003C,0,27
663,1.75,52.625,-45.0,#280047,0,28
682,1.8125,18.5,-7.5,#1F0016,0,29
699,1.875,-6.125,-5.0,#000C11,0,30
702,1.875,-0.25,-17.125,#000921,0,30
752,1.9375,23.5,-11.125,#23001B,0,31
755,1.9375,36.5,-46.625,#050049,0,31
794,2.0,88.25,-77.375,#290077,0,32
795,2.0625,-8.75,0.875,#000E05,0,33
825,2.0625,32.125,-23.125,#25002A,0,33
855,2.125,20.5,-1.125,#25000B,0,34
884,2.1875,26.875,-41.75,#000043,0,35
931,2.25,73.5,-59.5,#32005D,0,36
973,2.375,2.25,-23.375,#000A2A,0,38
991,2.375,48.75,-54.875,#0C0056,0,38
1013,2.4375,18.75,-20.125,#190027,0,39
1016,2.4375,31.5,-17.0,#280023,0,39
1049,2.5,41.0,-28.5,#2B0032,0,40
1051,2.5,50.375,-38.5,#2D0040,0,40
1124,2.625,70.5,-68.125,#1C006B,0,42
1125,2.625,79.25,-72.125,#250071,0,42
1163,2.6875,42.125,-51.75,#020052,0,43
1227,2.875,-5.0,-16.5,#000F23,0,46
1254,2.875,24.75,3.625,#2B0003,0,46
1255,2.875,27.5,-4.375,#2A0014,0,46
1265,2.875,91.125,-71.75,#3C0071,0,46
1270,2.9375,-8.375,-11.0,#00111C,0,47
1340,3.0,31.125,-9.5,#2C001B,0,48
1345,3.0,59.625,-62.625,#120063,0,48
1347,3.0,67.0,-52.375,#340054,0,48
1350,3.0,112.75,-94.25,#370094,0,48
1352,3.0625,-11.375,-4.5,#001213,0,49
1376,3.0625,18.5,5.125,#260000,0,49
1460,3.1875,-0.875,5.25,#0F0C00,0,51
1481,3.1875,40.125,-21.625,#30002A,0,51
1511,3.25,14.625,-3.0,#200112,1,52
1529,3.25,46.875,-29.75,#320035,0,52
1534,3.25,103.375,-89.0,#31008D,0,52
1554,3.3125,3.125,5.625,#160900,0,53
1584,3.3125,96.125,-84.75,#2C0086,0,53
1603,3.375,6.25,-31.125,#000C37,0,54
1608,3.375,11.5,-35.0,#00093C,0,54
1631,3.4375,-14.625,2.0,#001407,0,55
1700,3.5,61.125,-44.5,#36004A,0,56
1704,3.5,86.625,-67.125,#3D006B,0,56
1744,3.5625,56.375,-39.875,#350044,0,57
1765,3.625,7.625,6.0,#1D0700,0,58
1791,3.6875,-4.875,6.125,#081000,0,59
1808,3.6875,16.375,-39.0,#000743,0,59
1818,3.6875,36.625,-13.75,#310021,0,59
1823,3.6875,82.375,-77.375,#21007B,0,59
1870,3.75,29.875,-47.0,#00004E,0,60
1883,3.75,126.5,-104.0,#3E00A6,0,60
1888,3.8125,-10.5,6.375,#001300,0,61
1923,3.8125,81.125,-63.875,#3B0067,0,61
1954,3.875,33.875,-1.375,#330011,0,62
1991,3.9375,52.0,-60.25,#020062,0,63
1994,3.9375,64.0,-67.125,#11006C,0,63
1998,3.9375,107.0,-82.625,#460084,0,63
2043,4.0,30.875,4.625,#320005,0,64
2086,4.0625,53.25,-33.25,#38003C,0,65
2128,4.125,36.625,-6.875,#34001A,0,66
2201,4.25,-2.5,-25.5,#001331,0,68
2241,4.3125,-14.375,-10.5,#00171E,0,69
2244,4.3125,-10.75,-16.875,#001626,0,69
2376,4.4375,116.75,-89.625,#4C0091,0,71
2377,4.4375,118.5,-100.25,#3900A2,0,71
2425,4.5,46.375,-22.875,#38002F,0,72
2429,4.5,73.125,-53.0,#3F0059,0,72
2436,4.5625,-18.25,-2.75,#001914,0,73
2531,4.625,72.625,-73.5,#160078,0,74
2534,4.625,99.25,-75.5,#47007B,0,74
2637,4.8125,-20.5,3.0,#001A09,0,77
