id,L,a,b,hex_srgb,in_srgb,slice_id
1,0.0,0.0,0.0,#000000,1,0
4,1.0,0.0,0.0,#040404,1,1
7,1.0,6.0,0.0,#120004,1,1
10,1.0,8.0,-4.0,#12000D,1,1
12,1.0,8.0,-2.0,#130009,1,1
13,1.0,8.0,0.0,#150004,1,1
15,1.0,10.0,-8.0,#120014,1,1
18,1.0,10.0,-6.0,#140011,1,1
19,1.0,10.0,-4.0,#15000D,1,1
20,1.0,10.0,-2.0,#170009,1,1
22,1.0,12.0,-10.0,#140017,1,1
23,1.0,12.0,-8.0,#160014,1,1
24,1.0,12.0,-6.0,#170011,1,1
26,1.0,14.0,-14.0,#15001C,1,1
29,1.0,14.0,-12.0,#16001A,1,1
30,1.0,14.0,-10.0,#170017,1,1
32,1.0,16.0,-18.0,#140021,1,1
34,1.0,16.0,-16.0,#16001F,1,1
35,1.0,16.0,-14.0,#18001C,1,1
36,1.0,16.0,-12.0,#19001A,1,1
37,1.0,18.0,-20.0,#160024,1,1
39,1.0,18.0,-18.0,#170021,1,1
40,1.0,18.0,-16.0,#19001F,1,1
42,1.0,20.0,-22.0,#170026,1,1
44,1.0,20.0,-20.0,#180024,1,1
45,1.0,22.0,-24.0,#170029,1,1
46,1.0,22.0,-22.0,#190026,1,1
47,1.0,24.0,-26.0,#18002B,1,1
50,1.0,24.0,-24.0,#1A0029,1,1
51,1.0,26.0,-28.0,#19002E,1,1
52,1.0,26.0,-26.0,#1B002B,1,1
53,1.0,28.0,-30.0,#190031,1,1
55,1.0,28.0,-28.0,#1B002E,1,1
56,1.0,32.0,-34.0,#190036,1,1
58,1.0,32.0,-32.0,#1C0033,1,1
59,1.0,36.0,-36.0,#1C0039,1,1
61,1.0,40.0,-40.0,#1C003E,1,1
63,1.0,44.0,-44.0,#1C0044,1,1
65,1.0,48.0,-48.0,#1B0049,1,1
67,1.0,48.0,-44.0,#210044,1,1
68,1.0,52.0,-52.0,#1A004F,1,1
70,1.0,52.0,-48.0,#210049,1,1
71,1.0,56.0,-54.0,#1D0052,1,1
73,1.0,58.0,-52.0,#24004F,1,1
75,1.0,60.0,-56.0,#200055,1,1
76,1.0,64.0,-60.0,#1F005A,1,1
79,1.0,66.0,-58.0,#260058,1,1
80,1.0,70.0,-62.0,#26005D,1,1
83,1.0,74.0,-66.0,#250063,1,1
84,1.0,80.0,-70.0,#270069,1,1
87,1.0,88.0,-74.0,#2E006F,1,1
90,2.0,0.0,0.0,#070707,1,2
93,2.0,14.0,2.0,#1F0003,1,2
96,2.0,16.0,-2.0,#20000D,1,2
98,2.0,16.0,0.0,#210008,1,2
99,2.0,16.0,2.0,#210003,1,2
100,2.0,18.0,-4.0,#210011,1,2
102,2.0,18.0,-2.0,#22000D,1,2
103,2.0,18.0,0.0,#230008,1,2
104,2.0,20.0,-8.0,#210017,1,2
106,2.0,20.0,-6.0,#220014,1,2
107,2.0,20.0,-4.0,#230011,1,2
109,2.0,22.0,-10.0,#220019,1,2
111,2.0,22.0,-8.0,#230017,1,2
112,2.0,22.0,-6.0,#240014,1,2
113,2.0,24.0,-14.0,#22001E,1,2
115,2.0,24.0,-12.0,#23001C,1,2
116,2.0,24.0,-10.0,#240019,1,2
118,2.0,26.0,-16.0,#230021,1,2
120,2.0,26.0,-14.0,#24001E,1,2
121,2.0,28.0,-20.0,#230026,1,2
123,2.0,28.0,-18.0,#240023,1,2
124,2.0,30.0,-22.0,#230028,1,2
126,2.0,32.0,-26.0,#23002E,1,2
128,2.0,32.0,-24.0,#24002B,1,2
129,2.0,36.0,-32.0,#220035,1,2
132,2.0,36.0,-30.0,#240033,1,2
133,2.0,36.0,-28.0,#250030,1,2
134,2.0,40.0,-38.0,#20003E,1,2
137,2.0,40.0,-34.0,#240038,1,2
138,2.0,44.0,-42.0,#200043,1,2
139,2.0,44.0,-38.0,#25003E,1,2
140,2.0,46.0,-46.0,#1D0049,1,2
143,2.0,48.0,-44.0,#230046,1,2
144,2.0,48.0,-40.0,#280040,1,2
147,2.0,50.0,-52.0,#180051,1,2
150,2.0,50.0,-48.0,#20004C,1,2
151,2.0,52.0,-46.0,#260049,1,2
153,2.0,52.0,-42.0,#2B0043,1,2
154,2.0,54.0,-56.0,#160057,1,2
155,2.0,54.0,-52.0,#1F0051,1,2
156,2.0,56.0,-50.0,#26004E,1,2
158,2.0,56.0,-46.0,#2B0049,1,2
159,2.0,58.0,-58.0,#1A005A,1,2
162,2.0,58.0,-54.0,#220054,1,2
163,2.0,60.0,-52.0,#290051,1,2
165,2.0,62.0,-60.0,#1D005D,1,2
166,2.0,62.0,-56.0,#250057,1,2
167,2.0,64.0,-54.0,#2C0054,1,2
169,2.0,66.0,-64.0,#1C0063,1,2
172,2.0,66.0,-60.0,#25005D,1,2
173,2.0,68.0,-58.0,#2C005A,1,2
175,2.0,70.0,-64.0,#240063,1,2
176,2.0,72.0,-62.0,#2B0060,1,2
178,2.0,74.0,-68.0,#230069,1,2
181,2.0,76.0,-66.0,#2B0066,1,2
182,2.0,76.0,-62.0,#310060,1,2
184,2.0,80.0,-72.0,#25006F,1,2
187,2.0,80.0,-66.0,#310066,1,2
188,2.0,82.0,-70.0,#2D006C,1,2
189,2.0,86.0,-76.0,#280075,1,2
192,2.0,86.0,-70.0,#34006C,1,2
193,2.0,90.0,-76.0,#300075,1,2
194,2.0,94.0,-76.0,#370075,1,2
197,2.0,96.0,-82.0,#2E007E,1,2
200,2.0,102.0,-84.0,#350081,1,2
203,2.0,108.0,-88.0,#380088,1,2
206,3.0,0.0,0.0,#0B0B0B,1,3
209,3.0,22.0,2.0,#280007,1,3
212,3.0,22.0,4.0,#290002,1,3
213,3.0,24.0,-2.0,#280010,1,3
215,3.0,24.0,0.0,#29000C,1,3
216,3.0,24.0,2.0,#2A0007,1,3
217,3.0,24.0,4.0,#2B0002,1,3
218,3.0,26.0,-8.0,#280019,1,3
221,3.0,26.0,-6.0,#290016,1,3
222,3.0,26.0,-4.0,#290013,1,3
223,3.0,26.0,-2.0,#2A0010,1,3
224,3.0,26.0,0.0,#2B000C,1,3
225,3.0,26.0,2.0,#2C0007,1,3
227,3.0,28.0,-12.0,#28001E,1,3
229,3.0,28.0,-10.0,#29001B,1,3
230,3.0,30.0,-16.0,#280023,1,3
233,3.0,30.0,-14.0,#290020,1,3
234,3.0,30.0,-8.0,#2C0019,1,3
235,3.0,30.0,-6.0,#2C0016,1,3
237,3.0,32.0,-20.0,#280028,1,3
239,3.0,32.0,-18.0,#290025,1,3
240,3.0,32.0,-12.0,#2C001E,1,3
241,3.0,32.0,-10.0,#2D001B,1,3
244,3.0,34.0,-26.0,#260030,1,3
247,3.0,34.0,-24.0,#28002D,1,3
248,3.0,34.0,-22.0,#29002A,1,3
249,3.0,34.0,-16.0,#2C0023,1,3
250,3.0,34.0,-14.0,#2D0020,1,3
252,3.0,36.0,-30.0,#250035,1,3
253,3.0,36.0,-20.0,#2C0028,1,3
255,3.0,36.0,-18.0,#2D0025,1,3
257,3.0,38.0,-34.0,#23003A,1,3
260,3.0,38.0,-28.0,#290032,1,3
261,3.0,38.0,-24.0,#2C002D,1,3
263,3.0,40.0,-38.0,#210040,1,3
264,3.0,40.0,-32.0,#280038,1,3
265,3.0,42.0,-44.0,#1B0048,1,3
268,3.0,42.0,-36.0,#26003D,1,3
269,3.0,42.0,-30.0,#2C0035,1,3
271,3.0,42.0,-26.0,#2F0030,1,3
273,3.0,44.0,-48.0,#17004E,1,3
274,3.0,44.0,-42.0,#220045,1,3
275,3.0,44.0,-34.0,#2B003A,1,3
276,3.0,46.0,-52.0,#100054,1,3
279,3.0,46.0,-46.0,#1E004B,1,3
280,3.0,46.0,-40.0,#270043,1,3
282,3.0,46.0,-32.0,#2F0038,1,3
284,3.0,48.0,-50.0,#1A0051,1,3
