id,L,a,b,hex_srgb,in_srgb,slice_id
3,0.0,0.0,0.0,#000000,1,0
6,1.0,0.0,0.0,#040404,1,1
9,1.0,6.0,0.0,#120004,1,1
17,1.0,10.0,-8.0,#120014,1,1
28,1.0,14.0,-14.0,#15001C,1,1
38,1.0,18.0,-20.0,#160024,1,1
49,1.0,24.0,-26.0,#18002B,1,1
57,1.0,32.0,-34.0,#190036,1,1
62,1.0,40.0,-40.0,#1C003E,1,1
66,1.0,48.0,-48.0,#1B0049,1,1
72,1.0,56.0,-54.0,#1D0052,1,1
78,1.0,64.0,-60.0,#1F005A,1,1
82,1.0,70.0,-62.0,#26005D,1,1
86,1.0,80.0,-70.0,#270069,1,1
89,1.0,88.0,-74.0,#2E006F,1,1
92,2.0,0.0,0.0,#070707,1,2
95,2.0,14.0,2.0,#1F0003,1,2
101,2.0,18.0,-4.0,#210011,1,2
110,2.0,22.0,-10.0,#220019,1,2
119,2.0,26.0,-16.0,#230021,1,2
125,2.0,30.0,-22.0,#230028,1,2
131,2.0,36.0,-32.0,#220035,1,2
136,2.0,40.0,-38.0,#20003E,1,2
142,2.0,46.0,-46.0,#1D0049,1,2
146,2.0,48.0,-40.0,#280040,1,2
149,2.0,50.0,-52.0,#180051,1,2
157,2.0,56.0,-50.0,#26004E,1,2
161,2.0,58.0,-58.0,#1A005A,1,2
168,2.0,64.0,-54.0,#2C0054,1,2
171,2.0,66.0,-64.0,#1C0063,1,2
177,2.0,72.0,-62.0,#2B0060,1,2
180,2.0,74.0,-68.0,#230069,1,2
186,2.0,80.0,-72.0,#25006F,1,2
191,2.0,86.0,-76.0,#280075,1,2
196,2.0,94.0,-76.0,#370075,1,2
199,2.0,96.0,-82.0,#2E007E,1,2
202,2.0,102.0,-84.0,#350081,1,2
205,2.0,108.0,-88.0,#380088,1,2
208,3.0,0.0,0.0,#0B0B0B,1,3
211,3.0,22.0,2.0,#280007,1,3
220,3.0,26.0,-8.0,#280019,1,3
232,3.0,30.0,-16.0,#280023,1,3
243,3.0,32.0,-10.0,#2D001B,1,3
246,3.0,34.0,-26.0,#260030,1,3
254,3.0,36.0,-20.0,#2C0028,1,3
259,3.0,38.0,-34.0,#23003A,1,3
267,3.0,42.0,-44.0,#1B0048,1,3
272,3.0,42.0,-26.0,#2F0030,1,3
278,3.0,46.0,-52.0,#100054,1,3
283,3.0,46.0,-32.0,#2F0038,1,3
287,3.0,48.0,-38.0,#2C0040,1,3
296,3.0,52.0,-54.0,#190057,1,3
298,3.0,52.0,-46.0,#28004B,1,3
310,3.0,58.0,-60.0,#16005F,1,3
313,3.0,58.0,-48.0,#2D004E,1,3
324,3.0,64.0,-62.0,#1F0062,1,3
326,3.0,64.0,-54.0,#2E0057,1,3
335,3.0,70.0,-66.0,#220068,1,3
337,3.0,70.0,-56.0,#34005A,1,3
344,3.0,76.0,-68.0,#29006B,1,3
346,3.0,76.0,-60.0,#370060,1,3
350,3.0,80.0,-74.0,#230074,1,3
358,3.0,86.0,-78.0,#26007B,1,3
360,3.0,86.0,-68.0,#3A006C,1,3
366,3.0,94.0,-82.0,#2D0081,1,3
370,3.0,100.0,-86.0,#300087,1,3
374,3.0,106.0,-90.0,#33008D,1,3
378,3.0,112.0,-92.0,#3A0091,1,3
381,3.0,118.0,-96.0,#3D0097,1,3
384,4.0,0.0,0.0,#0E0E0E,1,4
387,4.0,24.0,-44.0,#00044A,1,4
394,4.0,26.0,-38.0,#070042,1,4
401,4.0,26.0,-30.0,#190037,1,4
408,4.0,26.0,-22.0,#22002C,1,4
415,4.0,26.0,-14.0,#270022,1,4
427,4.0,28.0,-8.0,#2C001B,1,4
434,4.0,28.0,0.0,#2E000F,1,4
453,4.0,32.0,-48.0,#000050,1,4
456,4.0,32.0,-34.0,#1D003D,1,4
460,4.0,32.0,-26.0,#250032,1,4
480,4.0,34.0,-40.0,#160045,1,4
484,4.0,34.0,-20.0,#2C002A,1,4
498,4.0,36.0,-12.0,#320020,1,4
504,4.0,36.0,-4.0,#340016,1,4
507,4.0,38.0,-52.0,#000056,1,4
518,4.0,40.0,-46.0,#15004D,1,4
521,4.0,40.0,-32.0,#2A003A,1,4
525,4.0,40.0,-24.0,#30002F,1,4
531,4.0,42.0,-38.0,#260042,1,4
535,4.0,42.0,-18.0,#350028,1,4
545,4.0,46.0,-56.0,#00005C,1,4
550,4.0,46.0,-26.0,#350032,1,4
553,4.0,48.0,-50.0,#1C0053,1,4
558,4.0,48.0,-34.0,#31003D,1,4
565,4.0,50.0,-42.0,#2C0048,1,4
573,4.0,54.0,-60.0,#0D0062,1,4
579,4.0,56.0,-54.0,#230059,1,4
584,4.0,56.0,-38.0,#370042,1,4
590,4.0,58.0,-46.0,#32004E,1,4
597,4.0,62.0,-66.0,#0E006B,1,4
603,4.0,64.0,-60.0,#260062,1,4
605,4.0,64.0,-52.0,#330056,1,4
616,4.0,70.0,-68.0,#20006E,1,4
619,4.0,70.0,-54.0,#380059,1,4
622,4.0,72.0,-62.0,#300065,1,4
631,4.0,78.0,-72.0,#270074,1,4
634,4.0,78.0,-64.0,#360068,1,4
640,4.0,84.0,-78.0,#25007D,1,4
643,4.0,84.0,-66.0,#3C006B,1,4
649,4.0,90.0,-82.0,#280083,1,4
651,4.0,90.0,-72.0,#3D0074,1,4
657,4.0,96.0,-86.0,#2A008A,1,4
659,4.0,96.0,-74.0,#430077,1,4
663,4.0,100.0,-80.0,#3F0081,1,4
666,4.0,104.0,-90.0,#320090,1,4
670,4.0,106.0,-82.0,#460084,1,4
673,4.0,110.0,-94.0,#350097,1,4
677,4.0,116.0,-98.0,#38009D,1,4
681,4.0,122.0,-100.0,#4000A0,1,4
684,5.0,0.0,0.0,#111111,1,5
687,5.0,34.0,6.0,#370005,1,5
694,5.0,38.0,-2.0,#380015,1,5
701,5.0,42.0,-10.0,#3A001F,1,5
706,5.0,46.0,-18.0,#3B002A,1,5
710,5.0,50.0,-28.0,#3A0037,1,5
714,5.0,54.0,-36.0,#390042,1,5
720,5.0,58.0,-44.0,#36004D,1,5
726,5.0,62.0,-52.0,#320059,1,5
735,5.0,66.0,-60.0,#2C0064,1,5
742,5.0,70.0,-70.0,#1D0073,1,5
746,5.0,70.0,-54.0,#3B005C,1,5
750,5.0,72.0,-64.0,#2F006A,1,5
756,5.0,76.0,-72.0,#260077,1,5
761,5.0,76.0,-58.0,#3E0062,1,5
765,5.0,80.0,-78.0,#1D0080,1,5
771,5.0,82.0,-66.0,#3C006E,1,5
777,5.0,86.0,-76.0,#31007D,1,5
782,5.0,90.0,-84.0,#250089,1,5
788,5.0,92.0,-78.0,#390080,1,5
792,5.0,98.0,-88.0,#2D0090,1,5
796,5.0,102.0,-82.0,#420086,1,5
800,5.0,104.0,-92.0,#300096,1,5
804,5.0,108.0,-86.0,#46008D,1,5
807,5.0,110.0,-96.0,#33009C,1,5
811,5.0,114.0,-90.0,#490093,1,5
814,5.0,116.0,-98.0,#3C00A0,1,5
818,5.0,122.0,-102.0,#3E00A6,1,5
822,6.0,0.0,0.0,#131313,1,6
825,6.0,10.0,-38.0,#001347,1,6
832,6.0,12.0,-32.0,#00113E,1,6
847,6.0,16.0,-26.0,#110D36,1,6
851,6.0,18.0,-42.0,#000F4C,1,6
855,6.0,18.0,-34.0,#000D41,1,6
875,6.0,20.0,-20.0,#1F082E,1,6
883,6.0,22.0,-28.0,#190839,1,6
894,6.0,22.0,-14.0,#260526,1,6
897,6.0,24.0,-46.0,#000B52,1,6
900,6.0,24.0,-36.0,#0C0844,1,6
926,6.0,26.0,-22.0,#250231,1,6
937,6.0,26.0,-8.0,#2D001E,1,6
943,6.0,28.0,-30.0,#20023C,1,6
953,6.0,30.0,-48.0,#000655,1,6
958,6.0,30.0,-40.0,#11034A,1,6
964,6.0,30.0,-16.0,#2E0029,1,6
971,6.0,30.0,-2.0,#330017,1,6
