id,L,a,b,hex_srgb,slice_id
1,0.0,0.0,0.0,#000000,0
4,0.0625,0.875,-1.375,#010004,1
5,0.0625,1.375,-2.25,#010006,1
6,0.0625,2.0,-3.375,#020009,1
8,0.0625,2.625,-4.375,#02000B,1
10,0.0625,3.25,-5.5,#02000D,1
12,0.0625,3.875,-6.5,#03000F,1
13,0.0625,4.5,-7.625,#030011,1
15,0.0625,5.25,-8.875,#040013,1
16,0.0625,6.0,-10.125,#040015,1
19,0.0625,6.75,-11.375,#050017,1
20,0.0625,7.625,-12.875,#050019,1
22,0.0625,8.5,-14.25,#06001B,1
23,0.125,1.0,-0.125,#030001,2
24,0.125,1.625,-1.125,#030003,2
25,0.125,2.125,-2.0,#040005,2
26,0.125,2.75,-2.875,#040008,2
27,0.125,3.875,-4.875,#05000C,2
28,0.125,10.125,-16.75,#07001E,2
29,0.125,11.25,-18.375,#080020,2
31,0.125,12.5,-20.125,#090022,2
33,0.125,13.875,-21.75,#0A0024,2
35,0.125,15.375,-23.5,#0B0026,2
36,0.125,17.125,-25.25,#0C0029,2
39,0.125,18.875,-27.0,#0D002B,2
40,0.1875,-0.75,0.0,#000101,3
41,0.1875,-0.375,-0.875,#000103,3
42,0.1875,5.75,-8.0,#060012,3
43,0.1875,9.125,-13.375,#09001A,3
44,0.1875,21.875,-29.875,#0E002F,3
45,0.1875,24.0,-31.75,#0F0031,3
48,0.1875,26.25,-33.375,#110033,3
49,0.1875,28.625,-35.125,#120036,3
52,0.25,2.875,-1.625,#070005,4
53,0.25,4.0,-3.625,#07000A,4
54,0.25,5.25,-5.875,#08000F,4
55,0.25,6.75,-8.125,#090013,4
56,0.25,7.5,-9.5,#0A0015,4
57,0.25,8.375,-10.875,#0A0017,4
58,0.25,10.25,-15.25,#0A001C,4
59,0.25,11.375,-16.875,#0B001E,4
60,0.25,12.5,-18.5,#0B0020,4
61,0.25,13.875,-20.125,#0C0022,4
62,0.25,15.25,-21.75,#0D0024,4
63,0.25,16.875,-23.5,#0E0027,4
64,0.25,33.375,-38.625,#13003A,4
66,0.25,36.0,-39.875,#15003C,4
68,0.25,38.75,-42.0,#16003F,4
70,0.3125,1.875,0.125,#060001,5
71,0.3125,2.625,0.375,#080000,5
73,0.3125,4.375,-2.625,#0A0008,5
74,0.3125,5.0,-3.75,#0A000A,5
77,0.3125,10.5,-13.875,#0C001B,5
78,0.3125,11.5,-15.375,#0D001D,5
80,0.3125,18.625,-25.125,#100029,5
81,0.3125,20.5,-27.0,#10002B,5
82,0.3125,31.375,-36.125,#150037,5
83,0.3125,44.0,-45.625,#180044,5
86,0.3125,47.25,-47.5,#1A0047,5
87,0.375,3.75,-1.625,#090005,6
88,0.375,6.375,-5.625,#0B000F,6
89,0.375,7.125,-6.875,#0C0011,6
90,0.375,7.875,-8.0,#0D0013,6
91,0.375,9.125,-10.125,#0D0016,6
92,0.375,13.125,-17.25,#0F001F,6
93,0.375,14.5,-18.875,#100021,6
94,0.375,51.125,-50.25,#1B004B,6
97,0.4375,4.0,-0.5,#0B0003,7
98,0.4375,4.625,-1.375,#0C0005,7
99,0.4375,5.25,-2.375,#0C0008,7
100,0.4375,10.75,-12.0,#0F0019,7
101,0.4375,16.0,-20.625,#110023,7
103,0.4375,17.5,-22.25,#110025,7
104,0.4375,23.125,-29.125,#12002E,7
105,0.4375,25.25,-30.875,#130031,7
106,0.4375,28.0,-32.375,#150033,7
107,0.4375,41.75,-42.75,#1A0041,7
108,0.5,4.25,0.625,#0D0000,8
110,0.5,6.0,-3.25,#0D000A,8
112,0.5,6.75,-4.5,#0E000D,8
113,0.5,7.5,-5.75,#0E000F,8
114,0.5,8.375,-6.875,#0F0011,8
115,0.5,9.125,-8.125,#0F0013,8
117,0.5,11.75,-13.375,#10001A,8
118,0.5,12.75,-14.875,#11001C,8
119,0.5,14.125,-16.625,#11001E,8
120,0.5,19.25,-23.75,#130027,8
124,0.5625,5.0,-0.125,#0E0003,9
125,0.5625,5.625,-1.125,#0F0005,9
126,0.5625,17.25,-20.125,#140023,9
127,0.5625,33.125,-35.375,#190037,9
128,0.5625,35.625,-37.5,#19003A,9
129,0.5625,56.25,-54.125,#1C0051,9
132,0.5625,59.375,-54.625,#210052,9
133,0.5625,62.625,-58.0,#200057,9
136,0.5625,66.625,-60.0,#230059,9
137,0.5625,70.875,-63.0,#24005E,9
140,0.625,10.875,-9.625,#120016,10
141,0.625,11.75,-11.125,#120018,10
144,0.625,12.75,-12.75,#13001A,10
146,0.625,15.875,-17.875,#140020,10
147,0.625,21.5,-25.0,#150029,10
148,0.625,23.375,-26.75,#16002C,10
149,0.625,25.5,-28.625,#17002E,10
150,0.625,45.5,-44.375,#1D0043,10
151,0.6875,5.375,1.0,#100000,11
152,0.6875,6.0,0.0,#110003,11
153,0.6875,6.625,-1.0,#110005,11
154,0.6875,7.25,-2.125,#110008,11
155,0.6875,8.0,-3.25,#12000B,11
156,0.6875,8.75,-4.375,#12000D,11
157,0.6875,9.625,-5.75,#130010,11
158,0.6875,19.875,-21.875,#160025,11
159,0.6875,39.875,-39.625,#1C003D,11
160,0.6875,79.875,-69.0,#280067,11
163,0.75,6.375,1.125,#120000,12
165,0.75,10.375,-7.0,#130012,12
166,0.75,11.25,-8.375,#140014,12
167,0.75,12.125,-9.75,#140016,12
168,0.75,13.125,-11.375,#150018,12
169,0.75,14.125,-13.0,#15001A,12
170,0.75,15.25,-14.75,#15001D,12
171,0.75,16.375,-16.5,#16001F,12
172,0.75,17.5,-18.25,#160021,12
173,0.75,30.25,-32.75,#180034,12
174,0.8125,7.0,0.125,#130003,13
175,0.8125,7.625,-0.875,#130005,13
177,0.8125,8.375,-2.0,#140008,13
178,0.8125,9.125,-3.125,#14000B,13
180,0.8125,9.875,-4.375,#14000E,13
181,0.8125,22.125,-23.625,#180028,13
182,0.8125,24.0,-25.375,#19002A,13
183,0.8125,26.0,-27.125,#19002C,13
184,0.8125,29.5,-30.375,#1A0031,13
186,0.8125,55.0,-50.5,#21004C,13
187,0.8125,85.5,-72.875,#2B006D,13
190,0.875,0.625,0.625,#060302,14
191,0.875,6.25,-2.125,#100009,14
192,0.875,7.375,1.375,#150000,14
193,0.875,10.75,-5.625,#150010,14
195,0.875,11.625,-7.0,#150013,14
196,0.875,12.5,-8.375,#160015,14
198,0.875,13.5,-10.0,#160017,14
199,0.875,14.5,-11.625,#170019,14
201,0.875,15.625,-13.375,#17001B,14
202,0.875,19.25,-18.875,#180022,14
204,0.875,20.625,-20.625,#190024,14
205,0.875,32.75,-33.0,#1B0034,14
206,0.875,35.25,-35.0,#1C0037,14
207,0.875,42.75,-40.625,#1F003F,14
208,0.9375,8.0,0.375,#150003,15
209,0.9375,8.75,-0.75,#150006,15
210,0.9375,9.5,-1.875,#160008,15
211,0.9375,10.25,-3.125,#16000B,15
212,0.9375,11.125,-4.25,#17000E,15
213,0.9375,16.75,-15.0,#18001D,15
215,0.9375,18.0,-16.875,#180020,15
216,0.9375,22.5,-22.125,#1A0026,15
218,0.9375,49.75,-46.0,#210046,15
219,1.0,7.0,-3.375,#11000C,16
220,1.0,8.5,1.5,#170000,16
222,1.0,12.0,-5.625,#170011,16
223,1.0,12.875,-7.0,#180013,16
224,1.0,13.75,-14.375,#14001D,16
225,1.0,13.875,-8.625,#180015,16
226,1.0,14.875,-10.25,#180018,16
227,1.0,16.0,-12.0,#19001A,16
228,1.0,24.375,-23.75,#1B0028,16
229,1.0,28.0,-27.25,#1C002D,16
230,1.0,90.75,-76.625,#2D0073,16
233,1.0625,9.125,0.5,#170003,17
234,1.0625,9.875,-0.625,#170006,17
236,1.0625,10.625,-1.75,#180009,17
237,1.0625,11.375,-2.875,#18000B,17
239,1.0625,17.125,-13.5,#19001C,17
240,1.0625,18.375,-15.375,#1A001E,17
241,1.0625,19.75,-17.5,#1A0021,17
242,1.0625,21.125,-19.25,#1B0023,17
244,1.0625,31.0,-29.375,#1D0030,17
246,1.0625,34.5,-32.5,#1E0034,17
247,1.0625,37.625,-35.25,#1F0038,17
248,1.0625,40.625,-37.75,#20003B,17
249,1.0625,46.75,-42.75,#210042,17
250,1.0625,59.375,-57.5,#1C0057,17
251,1.0625,64.125,-56.125,#270055,17
252,1.125,7.75,-4.625,#11000F,18
254,1.125,12.375,-4.25,#19000E,18
255,1.125,13.25,-5.5,#190011,18
257,1.125,14.25,-7.25,#190014,18
258,1.125,15.25,-8.75,#1A0016,18
260,1.125,16.375,-10.5,#1A0018,18
261,1.125,23.0,-20.625,#1C0025,18
262,1.125,27.625,-30.5,#180032,18
266,1.125,74.625,-63.5,#2B0060,18
267,1.125,74.75,-67.125,#240065,18
268,1.1875,0.5,-0.75,#050406,19
269,1.1875,10.25,0.625,#190003,19
270,1.1875,11.0,-0.375,#190006,19
271,1.1875,11.875,-1.625,#1A0009,19
272,1.1875,12.625,-2.875,#1A000C,19
273,1.1875,17.5,-12.0,#1B001A,19
275,1.1875,18.75,-13.75,#1C001C,19
276,1.1875,20.125,-16.0,#1C001F,19
277,1.1875,24.875,-22.25,#1D0027,19
278,1.25,13.625,-4.0,#1B000E,20
280,1.25,14.625,-5.875,#1B0012,20
281,1.25,15.625,-7.25,#1B0014,20
282,1.25,27.25,-24.25,#1E002A,20
283,1.25,43.875,-39.25,#22003E,20
284,1.25,58.875,-51.25,#27004E,20
286,1.3125,10.625,2.0,#1A0000,21
287,1.3125,11.5,0.875,#1B0003,21
288,1.3125,12.25,-0.25,#1B0006,21
290,1.3125,16.75,-9.0,#1C0017,21
291,1.3125,17.875,-10.375,#1D0018,21
294,1.3125,29.5,-26.0,#1F002C,21
295,1.3125,31.75,-27.875,#20002F,21
296,1.3125,64.75,-61.5,#1E005D,21
297,1.3125,68.5,-58.375,#2A0059,21
298,1.375,8.5,-5.75,#120012,22
299,1.375,13.125,-1.5,#1C0009,22
300,1.375,14.0,-2.625,#1C000C,22
302,1.375,15.0,-4.5,#1C0010,22
303,1.375,16.0,-5.75,#1D0012,22
305,1.375,19.125,-12.125,#1D001B,22
306,1.375,20.375,-13.625,#1E001D,22
307,1.375,21.875,-15.75,#1E001F,22
309,1.375,24.75,-20.25,#1E0025,22
311,1.375,27.125,-22.375,#200028,22
313,1.375,34.125,-29.875,#210031,22
314,1.375,50.125,-43.75,#250044,22
315,1.375,53.75,-46.75,#260048,22
317,1.4375,11.875,2.25,#1C0000,23
318,1.4375,12.75,1.0,#1D0003,23
319,1.4375,17.125,-7.5,#1D0015,23
320,1.4375,18.25,-8.875,#1E0017,23
324,1.4375,39.0,-33.625,#230036,23
326,1.4375,70.125,-65.0,#210063,23
327,1.5,49.375,-51.875,#160050,24
328,1.5,52.625,-54.75,#150054,24
329,1.5,56.25,-56.875,#180057,24
330,1.5,79.625,-66.125,#2F0065,24
331,1.5,96.75,-81.5,#2F007C,24
332,1.5,101.125,-81.75,#37007D,24
335,1.5,104.875,-86.5,#340084,24
338,1.5625,-0.625,0.625,#050604,25
340,1.5625,14.0,0.375,#1E0005,25
341,1.5625,14.875,-0.875,#1E0008,25
342,1.5625,15.75,-2.25,#1F000C,25
343,1.5625,30.75,-24.375,#22002A,25
345,1.625,16.75,-3.625,#1F000F,26
346,1.625,17.625,-5.0,#1F0011,26
347,1.625,18.625,-6.5,#200014,26
348,1.625,28.875,-21.625,#220027,26
349,1.625,37.375,-30.75,#240033,26
350,1.625,43.875,-36.875,#26003B,26
351,1.625,49.25,-48.125,#1E004B,26
353,1.6875,13.875,2.75,#1F0000,27
354,1.6875,14.75,1.625,#200003,27
355,1.6875,19.75,-8.125,#200016,27
356,1.6875,20.875,-9.75,#210018,27
357,1.6875,22.0,-11.375,#21001A,27
359,1.6875,23.125,-13.125,#21001D,27
360,1.6875,25.0,-15.875,#220020,27
361,1.6875,26.25,-17.75,#220022,27
362,1.75,0.0,0.125,#070606,28
363,1.75,15.625,0.375,#200006,28
364,1.75,16.375,-0.875,#200009,28
365,1.75,17.25,-2.125,#21000C,28
366,1.75,18.25,-3.375,#21000F,28
367,1.75,33.5,-25.625,#24002D,28
368,1.75,35.25,-28.0,#240030,28
370,1.75,48.125,-39.875,#280040,28
371,1.75,95.75,-77.5,#360077,28
372,1.8125,-0.875,-0.375,#040707,29
373,1.8125,15.25,3.0,#210000,29
