id,L,a,b,hex_srgb,slice_id
2,0.0,0.0,0.0,#000000,0
7,0.0625,2.0,-3.375,#020009,1
11,0.0625,3.25,-5.5,#02000D,1
14,0.0625,4.5,-7.625,#030011,1
17,0.0625,6.0,-10.125,#040015,1
21,0.0625,7.625,-12.875,#050019,1
30,0.125,11.25,-18.375,#080020,2
34,0.125,13.875,-21.75,#0A0024,2
37,0.125,17.125,-25.25,#0C0029,2
46,0.1875,24.0,-31.75,#0F0031,3
50,0.1875,28.625,-35.125,#120036,3
51,0.25,2.25,-0.75,#060003,4
67,0.25,36.0,-39.875,#15003C,4
72,0.3125,3.5,-2.625,#070008,5
75,0.3125,6.25,-7.25,#090011,5
76,0.3125,9.5,-12.375,#0C0019,5
79,0.3125,11.5,-15.375,#0D001D,5
84,0.3125,44.0,-45.625,#180044,5
95,0.375,51.125,-50.25,#1B004B,6
102,0.4375,16.0,-20.625,#110023,7
109,0.5,4.25,0.625,#0D0000,8
111,0.5,6.0,-3.25,#0D000A,8
116,0.5,9.125,-8.125,#0F0013,8
121,0.5,19.25,-23.75,#130027,8
122,0.5,23.0,-27.375,#14002C,8
130,0.5625,56.25,-54.125,#1C0051,9
134,0.5625,62.625,-58.0,#200057,9
138,0.5625,70.875,-63.0,#24005E,9
142,0.625,11.75,-11.125,#120018,10
145,0.625,13.75,-14.375,#13001C,10
161,0.6875,79.875,-69.0,#280067,11
164,0.75,6.375,1.125,#120000,12
176,0.8125,7.625,-0.875,#130005,13
179,0.8125,9.125,-3.125,#14000B,13
188,0.8125,85.5,-72.875,#2B006D,13
194,0.875,10.75,-5.625,#150010,14
197,0.875,12.5,-8.375,#160015,14
200,0.875,14.5,-11.625,#170019,14
203,0.875,19.25,-18.875,#180022,14
214,0.9375,16.75,-15.0,#18001D,15
217,0.9375,22.5,-22.125,#1A0026,15
221,1.0,8.5,1.5,#170000,16
231,1.0,90.75,-76.625,#2D0073,16
235,1.0625,9.875,-0.625,#170006,17
238,1.0625,11.375,-2.875,#18000B,17
243,1.0625,26.375,-25.5,#1C002B,17
245,1.0625,31.0,-29.375,#1D0030,17
256,1.125,13.25,-5.5,#190011,18
259,1.125,15.25,-8.75,#1A0016,18
263,1.125,37.875,-35.0,#200038,18
264,1.125,43.375,-39.625,#21003E,18
265,1.125,49.375,-44.75,#220045,18
274,1.1875,17.5,-12.0,#1B001A,19
289,1.3125,12.25,-0.25,#1B0006,21
301,1.375,14.0,-2.625,#1C000C,22
304,1.375,16.0,-5.75,#1D0012,22
308,1.375,21.875,-15.75,#1E001F,22
310,1.375,24.75,-20.25,#1E0025,22
312,1.375,29.875,-32.5,#190035,22
316,1.375,57.125,-49.5,#27004C,22
321,1.4375,18.25,-8.875,#1E0017,23
323,1.4375,28.75,-23.5,#200029,23
333,1.5,101.125,-81.75,#37007D,24
336,1.5,104.875,-86.5,#340084,24
339,1.5625,12.5,2.625,#1D0000,25
352,1.625,68.0,-57.0,#2C0058,26
358,1.6875,22.0,-11.375,#21001A,27
374,1.8125,15.25,3.0,#210000,29
384,1.875,17.125,0.5,#220006,30
388,1.875,52.375,-55.625,#130056,30
394,1.9375,19.0,-2.0,#23000D,31
398,1.9375,38.0,-29.0,#270031,31
406,2.0,21.0,-5.125,#230013,32
409,2.0,23.375,-8.5,#240017,32
417,2.0625,34.75,-24.375,#27002C,33
420,2.0625,52.375,-42.125,#2B0044,33
422,2.0625,59.25,-60.125,#17005D,33
424,2.0625,95.125,-81.625,#2D007E,33
431,2.125,26.125,-12.125,#25001C,34
434,2.125,28.75,-15.875,#260021,34
437,2.125,31.625,-19.875,#270026,34
441,2.125,109.375,-90.5,#36008C,34
444,2.1875,18.25,3.625,#250000,35
448,2.1875,73.5,-68.875,#20006B,35
452,2.25,20.375,1.0,#260007,36
462,2.25,65.25,-64.125,#1A0064,36
463,2.25,74.125,-59.75,#33005D,36
466,2.3125,22.625,-2.375,#26000F,37
473,2.3125,47.875,-36.5,#2C003C,37
478,2.375,24.875,-5.625,#270014,38
486,2.375,63.875,-51.0,#300051,38
492,2.4375,27.5,-9.0,#280019,39
507,2.5,43.875,-31.125,#2C0036,40
513,2.5625,45.5,-52.5,#0B0053,41
521,2.5625,116.0,-95.5,#390095,41
524,2.5625,121.125,-98.625,#3C009A,41
526,2.625,-0.875,-0.375,#070A0A,42
541,2.75,32.75,-14.25,#2B0020,44
546,2.8125,25.75,0.75,#2B000A,45
550,2.8125,27.375,-2.625,#2B0011,45
573,2.9375,78.875,-73.75,#210074,47
574,2.9375,81.25,-63.875,#390065,47
575,3.0,0.5,-0.75,#0B0B0D,48
581,3.0,42.375,-26.0,#2F0030,48
603,3.0625,89.875,-70.375,#3C006F,49
605,3.125,25.375,5.375,#2C0000,50
617,3.1875,40.25,-40.5,#1F0044,51
619,3.1875,97.25,-76.375,#3F0079,51
623,3.25,40.25,-21.125,#30002A,52
626,3.25,86.125,-78.625,#25007C,52
643,3.375,30.125,0.0,#2F000D,54
646,3.375,31.875,-3.75,#2F0014,54
651,3.375,35.75,-11.75,#30001E,54
654,3.375,38.0,-16.125,#310024,54
657,3.375,61.5,-45.0,#36004B,54
659,3.4375,34.0,-7.875,#30001A,55
662,3.4375,51.125,-33.75,#34003B,55
667,3.5,23.75,-42.875,#000248,56
671,3.5,24.0,-39.375,#000143,56
674,3.5,24.25,-35.875,#08003E,56
703,3.5,28.375,-45.125,#00004B,56
706,3.5,28.5,-41.0,#030045,56
709,3.5,28.75,-37.25,#100040,56
731,3.5,33.0,-46.75,#00004D,56
734,3.5,33.125,-42.5,#0C0047,56
737,3.5,33.25,-38.375,#170041,56
752,3.5,37.75,-48.125,#05004F,56
757,3.5,38.0,-43.875,#150049,56
765,3.5,48.375,-48.25,#1F004F,56
772,3.5625,24.875,-29.125,#180035,57
775,3.5625,54.625,-61.0,#080062,57
777,3.5625,98.625,-86.75,#2D008A,57
779,3.5625,126.375,-103.625,#3E00A5,57
799,3.75,31.25,3.25,#320007,60
804,3.8125,29.25,-26.375,#210032,61
818,3.9375,25.25,-22.875,#20002D,63
824,3.9375,43.0,-36.375,#290040,63
827,3.9375,54.0,-52.75,#220057,63
829,3.9375,60.375,-54.0,#2A0059,63
838,4.0,66.875,-48.125,#3B0051,64
840,4.0625,33.375,-31.5,#220039,65
859,4.125,48.75,-26.875,#370033,66
869,4.25,25.75,-16.375,#260026,68
878,4.25,35.25,0.5,#35000F,68
881,4.25,64.125,-67.875,#0F006E,68
896,4.3125,44.0,-18.625,#370029,69
906,4.375,32.0,7.375,#340000,70
908,4.375,42.625,-54.375,#00005A,70
910,4.375,47.875,-58.75,#000061,70
911,4.375,48.625,-43.0,#2A004A,70
916,4.375,69.875,-63.375,#2B0068,70
918,4.375,105.75,-81.625,#470084,70
925,4.4375,57.375,-40.5,#370047,71
