id,L,a,b,hex_srgb,slice_id
3,0.0,0.0,0.0,#000000,0
9,0.0625,2.625,-4.375,#02000B,1
18,0.0625,6.0,-10.125,#040015,1
32,0.125,12.5,-20.125,#090022,2
38,0.125,17.125,-25.25,#0C0029,2
47,0.1875,24.0,-31.75,#0F0031,3
65,0.25,33.375,-38.625,#13003A,4
69,0.25,38.75,-42.0,#16003F,4
85,0.3125,44.0,-45.625,#180044,5
96,0.375,51.125,-50.25,#1B004B,6
123,0.5625,4.375,0.875,#0E0000,9
131,0.5625,56.25,-54.125,#1C0051,9
135,0.5625,62.625,-58.0,#200057,9
139,0.5625,70.875,-63.0,#24005E,9
143,0.625,11.75,-11.125,#120018,10
162,0.6875,79.875,-69.0,#280067,11
185,0.8125,31.875,-32.5,#1B0034,13
189,0.8125,85.5,-72.875,#2B006D,13
232,1.0,90.75,-76.625,#2D0073,16
253,1.125,9.5,1.75,#180000,18
279,1.25,13.625,-4.0,#1B000E,20
285,1.3125,7.75,-4.625,#12000F,21
292,1.3125,17.875,-10.375,#1D0018,21
293,1.3125,25.0,-20.625,#1E0025,21
322,1.4375,21.75,-15.375,#1E001F,23
325,1.4375,49.5,-42.875,#260043,23
334,1.5,101.125,-81.75,#37007D,24
337,1.5,104.875,-86.5,#340084,24
344,1.5625,30.75,-24.375,#22002A,25
369,1.75,37.5,-34.375,#210038,28
401,1.9375,69.625,-57.125,#2F0059,31
402,1.9375,77.75,-63.5,#320062,31
418,2.0625,43.625,-33.75,#290038,33
425,2.0625,95.125,-81.625,#2D007E,33
442,2.125,109.375,-90.5,#36008C,34
450,2.25,19.25,2.5,#250003,36
468,2.3125,23.625,-3.875,#270011,37
472,2.3125,39.125,-27.5,#290030,37
493,2.4375,27.5,-9.0,#280019,39
516,2.5625,56.125,-43.5,#2F0047,41
518,2.5625,63.5,-63.875,#170064,41
522,2.5625,116.0,-95.5,#390095,41
525,2.5625,121.125,-98.625,#3C009A,41
528,2.625,48.625,-55.375,#090058,42
537,2.6875,73.625,-70.125,#1E006E,43
561,2.875,38.25,-21.25,#2D0029,46
562,2.875,50.125,-36.875,#2F003E,46
577,3.0,35.25,-15.25,#2E0022,48
586,3.0,65.0,-52.75,#310055,48
627,3.25,86.25,-67.125,#3C006B,52
630,3.3125,27.125,5.125,#2E0001,53
641,3.375,29.5,-3.25,#2D0013,54
668,3.5,23.75,-42.875,#000248,56
719,3.5,30.625,-45.875,#00004C,56
744,3.5,35.375,-49.75,#000051,56
776,3.5625,54.625,-61.0,#080062,57
780,3.5625,126.375,-103.625,#3E00A5,57
788,3.625,79.625,-75.625,#1F0079,58
802,3.75,98.25,-86.875,#2C008B,60
807,3.8125,46.25,-26.125,#340032,61
810,3.8125,95.625,-74.0,#420077,61
811,3.875,24.25,-36.625,#060140,62
832,4.0,33.375,1.75,#33000C,64
843,4.0625,41.0,-53.5,#000058,65
849,4.0625,63.25,-45.0,#39004C,65
853,4.0625,76.125,-56.625,#3E005D,65
